*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Auxiliary Board
*Date=12:21:36
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
134;;;38.2271;-35.9565;0;Bottom;Copper Fill77
135;;;61.6465;-25.994;0;Bottom;TXT1
136;;THT;61.7653;-70.7805;-90;Bottom;MPU9250
137;;;35.8141;-50.1805;0;Bottom;Copper Fill27
138;;;103.759;-8.88008;0;Bottom;Copper Fill90
139;;;117.672;-47.1797;0;Bottom;TXT1
140;;;61.502;-42.4556;0;Bottom;AutoDRIVE Logo
141;;;110.912;-43.3401;0;Bottom;TXT1
142;;;43.1801;-66.4618;0;Bottom;Copper Fill8
143;;THT;102.395;-7.60302;-90;Bottom;RR Encoder 2
144;;;43.5865;-21.0721;0;Bottom;Copper Fill84
145;;;89.3065;-33.4673;0;Bottom;Copper Fill70
146;;THT;6.63654;-38.337;-90;Bottom;Right Indicators
147;;;61.726;-22.9275;0;Bottom;TXT1
148;;;90.2463;-20.7673;0;Bottom;Copper Fill40
149;;;2.53384;-46.0367;0;Bottom;TXT1
150;;;22.3845;-59.927;0;Bottom;Via9
151;;;50.7493;-27.4983;0;Bottom;Copper Fill38
152;;THT;51.7763;-57.4415;90;Bottom;Encoder Power
153;;;74.1173;-52.7458;0;Bottom;Copper Fill24
154;;THT;111.148;-29.4971;0;Bottom;Source Power
155;;;109.626;-36.185;0;Bottom;Copper Fill83
156;;;41.1804;-67.293;0;Bottom;Via1
157;;;35.8649;-36.7439;0;Bottom;Copper Fill75
158;;;64.6177;-11.3439;0;Bottom;Copper Fill43
159;;;118.033;-1.9931;0;Bottom;Hole 3
160;;;61.6204;-16.1953;0;Bottom;Copper Fill92
161;;;11.6145;-68.8217;0;Bottom;TXT1
162;;;64.2367;-30.8511;0;Bottom;Copper Fill72
163;;;27.8892;-70.6528;0;Bottom;Copper Fill3
164;;;86.2686;-66.4192;0;Bottom;TXT1
165;;THT;86.191;-8.01237;90;Bottom;Drive Motor RR
166;;;117.669;-52.542;0;Bottom;TXT1
167;;;15.9632;-72.6486;0;Bottom;TXT1
168;;;4.9841;-24.5632;-90;Bottom;TXT1
169;;;50.5784;-59.927;0;Bottom;Via10
170;;;66.5481;-61.839;0;Bottom;Copper Fill61
171;;;110.576;-3.8089;0;Bottom;TXT1
172;;;35.2256;-39.8661;90;Bottom;Motor Driver Front
173;;;72.4155;-51.9838;0;Bottom;Copper Fill22
174;;;17.0942;-64.9632;0;Bottom;Copper Fill11
175;;THT;102.903;-72.627;-90;Bottom;FR Encoder 2
176;;THT;19.5905;-72.627;-90;Bottom;FL Encoder 2
177;;;79.2989;-58.0798;0;Bottom;Copper Fill16
178;;;11.4307;-3.55377;0;Bottom;TXT1
179;;;70.8915;-59.6038;0;Bottom;Copper Fill62
180;;;81.9151;-16.6017;0;Bottom;Copper Fill52
181;;;53.6957;-59.68;0;Bottom;Copper Fill63
182;;;40.8433;-35.4739;0;Bottom;Copper Fill78
183;;;49.9619;-52.3394;0;Bottom;Copper Fill23
184;;;2.46083;-40.8286;0;Bottom;TXT1
185;;;51.0287;-74.158;0;Bottom;Copper Fill4
186;;;2.49445;-35.6314;0;Bottom;TXT1
187;;;24.1625;-67.293;0;Bottom;Via2
188;;;50.6223;-12.9949;0;Bottom;Copper Fill44
189;;;15.7391;-10.0141;0;Bottom;TXT1
190;;;11.8872;-39.5887;0;Bottom;Copper Fill32
191;;THT;6.63654;-40.877;-90;Bottom;Left Indicators
192;;;75.4704;-35.7971;0;Bottom;Via7
